Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-23 14:14:10.587 +0100,"Failure",0:00:00,1,0,0,"20170823_141410.587/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:15:42.765 +0100,"Failure",0:00:00,1,0,0,"20170823_141542.765/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:16:51.670 +0100,"Failure",0:00:00,2,0,0,"20170823_141651.670/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'iw_reference'",0
2017-08-23 14:17:43.776 +0100,"Failure",0:00:00,2,0,0,"20170823_141743.776/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'iw_reference'",0
2017-08-23 14:18:44.780 +0100,"Failure",0:00:00,1,0,0,"20170823_141844.780/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:24:28.802 +0100,"Failure",0:00:00,1,0,0,"20170823_142428.802/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:25:23.486 +0100,"Failure",0:00:00,1,0,0,"20170823_142523.486/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:27:01.854 +0100,"Failure",0:00:00,1,0,0,"20170823_142701.854/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:27:54.876 +0100,"Failure",0:00:00,1,0,0,"20170823_142754.876/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:28:46.216 +0100,"Failure",0:00:00,1,0,0,"20170823_142846.216/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:29:30.100 +0100,"Failure",0:00:00,1,0,0,"20170823_142930.100/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:31:04.621 +0100,"Failure",0:00:00,1,0,0,"20170823_143104.621/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:31:45.624 +0100,"Failure",0:00:00,1,0,0,"20170823_143145.624/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:33:03.322 +0100,"Failure",0:00:02,25,0,0,"20170823_143303.322/LogFile.txt","","Script Error -- Number of Errors logged: 25",0
2017-08-23 14:34:25.043 +0100,"Success",0:00:00,0,0,0,"20170823_143425.043/LogFile.txt","","",1
2017-08-23 14:35:07.796 +0100,"Success",0:00:00,0,0,0,"20170823_143507.796/LogFile.txt","","",1
2017-08-23 14:35:34.807 +0100,"Failure",0:00:00,1,0,0,"20170823_143534.807/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:36:21.394 +0100,"Failure",0:00:00,1,0,0,"20170823_143621.394/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:36:58.853 +0100,"Failure",0:00:00,1,0,0,"20170823_143658.853/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:37:49.335 +0100,"Failure",0:00:00,1,0,0,"20170823_143749.335/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:39:04.013 +0100,"Failure",0:00:00,1,0,0,"20170823_143904.013/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:40:29.456 +0100,"Success",0:00:00,0,0,0,"20170823_144029.456/LogFile.txt","","",1
2017-08-23 14:41:42.506 +0100,"Failure",0:00:00,1,0,0,"20170823_144142.506/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:44:15.549 +0100,"Success",0:00:00,0,0,0,"20170823_144415.549/LogFile.txt","","",1
2017-08-23 14:45:52.946 +0100,"Success",0:00:00,0,0,0,"20170823_144552.946/LogFile.txt","","",1
2017-08-23 14:46:42.603 +0100,"Success",0:00:00,0,0,0,"20170823_144642.603/LogFile.txt","","",1
2017-08-23 14:47:42.473 +0100,"Success",0:00:00,0,0,0,"20170823_144742.473/LogFile.txt","","",1
2017-08-23 14:48:18.592 +0100,"Success",0:00:00,0,0,0,"20170823_144818.592/LogFile.txt","","",1
2017-08-23 14:49:19.643 +0100,"Failure",0:00:00,1,0,0,"20170823_144919.643/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 14:51:48.511 +0100,"Failure",0:00:00,1,0,0,"20170823_145148.511/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 14:53:23.735 +0100,"Failure",0:00:00,1,0,0,"20170823_145323.735/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
